,code,year,month,day_of_month,date,state,magnitude,injuries,fatalities,s_latitude,s_longitude,e_latitude,e_longitude,length,width
58,fgRysNgBXnprb18indL0,2010,6,17,2010-06-17,MN,4,5,1,46.09,-95.44,46.61,-95.25,39.56,2288.00
59,Jsuf6smPGyF7W0rVBFbm,2010,6,17,2010-06-17,ND,4,1,0,47.54,-97.30,47.78,-97.32,17.00,150.00
60,JS9oX2zyCQqGGuzoEx8T,2010,6,17,2010-06-17,MN,4,14,1,43.58,-93.64,43.80,-93.52,16.91,1760.00
61,cBXsCAO2RLQfFVQLoBWq,2010,6,17,2010-06-17,MN,4,20,0,46.41,-95.18,46.52,-95.03,10.00,1936.00
62,MXKfA4IffRHCm6ze0UPd,2010,6,5,2010-06-05,OH,4,28,7,41.55,-83.54,41.57,-83.37,8.80,400.00
63,NRaPTsY1aPvzsq8kFBVc,2010,5,22,2010-05-22,SD,4,0,0,45.45,-99.75,45.48,-99.64,5.70,1200.00
64,1oxf3xTO9VBelFQgETRH,2010,5,10,2010-05-10,OK,4,49,2,35.29,-97.50,35.47,-97.16,24.00,2000.00
65,bNBmZ8m0MBB4foeOg7S2,2010,5,10,2010-05-10,OK,4,32,1,35.18,-97.43,35.26,-97.05,22.25,880.00
66,JjCSbZqRxjgRjWyZlrJS,2010,4,24,2010-04-24,LA,4,146,10,32.40,-91.30,33.43,-89.04,148.97,3080.00
67,wZP70Iz7EkGPBtxZGKef,2010,4,24,2010-04-24,AL,4,5,0,34.34,-85.71,34.22,-85.96,16.62,880.00
68,rlNL55BQtU25cu5VFLmL,2009,4,10,2009-04-10,TN,4,58,2,35.76,-86.85,35.91,-86.28,23.25,750.00
69,cFpdRoaTSvDJe74ilJgM,2009,2,10,2009-02-10,TX,4,46,8,33.93,-97.62,34.26,-97.11,36.99,880.00
70,jSFtzCrwdhNtmU6HH038,2008,6,11,2008-06-11,KS,4,0,0,39.13,-96.71,39.20,-96.58,8.64,440.00
71,UBt4zdHXqsXj5e0ovj2Z,2008,5,23,2008-05-23,KS,4,2,0,38.94,-100.29,39.11,-100.33,11.39,1320.00
72,hLSRQlsTDjN7W1cyUZ44,2008,5,11,2008-05-11,GA,4,9,0,31.41,-81.46,31.40,-81.30,11.00,700.00
73,Xx6QPlGkCPc3B1PNuzJF,2008,5,10,2008-05-10,OK,4,350,21,37.00,-95.14,36.82,-93.78,75.51,1760.00
74,NHkEqUoQnOMqDLb9BjVB,2008,2,6,2008-02-06,AL,4,12,1,34.67,-85.84,34.76,-85.69,10.90,660.00
75,VMqMaYSgAadXI36JCkVo,2008,2,6,2008-02-06,AL,4,23,4,34.40,-87.29,34.56,-87.06,16.70,880.00
76,P7MGELekuLXDwXq7HxtG,2008,2,5,2008-02-05,AR,4,139,13,35.10,-93.07,36.29,-91.47,121.84,1320.00
77,nKkpIgoVshoHRTDCv7Lu,2008,2,5,2008-02-05,TN,4,5,3,35.27,-88.29,35.38,-88.04,16.17,880.00
78,lsrgPaURv0qgPhCNQXXx,2008,2,5,2008-02-05,TN,4,51,0,35.68,-88.86,35.73,-88.75,7.61,125.00
79,ETOIYhg0ZTkIGEIcfp6l,2007,8,26,2007-08-26,ND,4,18,1,47.72,-97.61,47.74,-97.53,5.00,1400.00
80,jDCV8Su1NlTAXioQwV5S,2007,3,1,2007-03-01,AL,4,2,1,32.12,-87.41,32.27,-87.14,18.32,500.00
81,lGLJz6N7lgkpWTp70Ott,2007,3,1,2007-03-01,AL,4,50,9,31.28,-85.92,31.38,-85.78,10.33,500.00
82,eCVIiB9fpcF6o6E482OF,2007,2,28,2007-02-28,KS,4,0,0,38.13,-95.10,38.26,-94.66,28.01,800.00
83,Z3oqow21DR8rF4GopVIx,2006,9,22,2006-09-22,MO,4,6,0,37.68,-89.83,37.80,-89.33,27.50,225.00
84,FhHbNFkwtU6dZmnF1TQa,2006,3,12,2006-03-12,MO,4,0,0,39.45,-92.18,39.65,-91.73,29.00,500.00
85,kEy8u1UQ7uLOhIkYkols,2005,11,15,2005-11-15,KY,4,40,0,37.25,-87.53,37.42,-87.35,15.00,800.00
86,TpfMu1xTNLwydakBDF9s,2004,7,18,2004-07-18,ND,4,0,0,46.78,-98.38,46.62,-98.35,12.00,200.00
87,XgiEbVOWxUfeqjmDwTYE,2004,7,13,2004-07-13,IL,4,3,0,40.80,-89.33,40.78,-89.17,9.60,440.00
88,qrfQv1fXx8bNaf6yPSK8,2004,5,29,2004-05-29,MO,4,6,3,39.88,-94.25,40.22,-94.03,22.00,800.00
89,UoBIgd8Pe4puXNDS3ohM,2004,5,22,2004-05-22,NE,4,38,1,40.32,-97.33,40.70,-96.40,54.00,4400.00
90,QhcS50hOkAOoj0DCJHVe,2004,5,12,2004-05-12,KS,4,1,0,37.25,-97.98,37.25,-97.97,1.20,500.00
91,MD9yrLnHQinzPwgwq7eS,2003,6,24,2003-06-24,SD,4,4,0,44.28,-97.77,44.42,-97.72,10.00,1000.00
92,27BEnxbhR3xfBBoPJOVa,2003,6,23,2003-06-23,NE,4,0,1,42.50,-97.32,42.53,-97.07,13.00,1200.00
93,okE4Bjgi1tnMGEC7fxnz,2003,5,8,2003-05-08,OK,4,134,0,35.33,-97.53,35.47,-97.25,17.30,700.00
94,kXHoEHPyDTSl1z25Lnv0,2003,5,6,2003-05-06,IL,4,33,2,37.27,-89.03,37.38,-88.48,33.00,1000.00
95,Uha6td9JTLMB3mduNixM,2003,5,4,2003-05-04,KS,4,30,2,39.07,-94.83,39.25,-94.50,21.00,500.00
96,XzpSKwPRRIJ8xWkxZpNz,2003,5,4,2003-05-04,TN,4,86,11,35.52,-89.03,35.65,-88.35,39.00,880.00
97,ocPDgidPQ8Mma2HrafZX,2003,5,4,2003-05-04,MO,4,13,0,39.23,-94.48,39.23,-94.47,5.00,200.00
98,eOUZ7dLzlULqLVIAt1NB,2003,5,4,2003-05-04,KS,4,30,4,37.42,-95.10,37.58,-94.53,33.00,880.00
99,rgld69ir9CCssPeTseBM,2002,11,10,2002-11-10,OH,4,17,4,40.78,-84.77,41.30,-84.00,52.80,880.00
100,5W9llLZJWPHMCIic3Z8S,2002,8,11,2002-08-11,ND,4,0,0,46.95,-99.30,46.97,-99.30,1.00,300.00
101,kWijW63QjWh9LFo86AZ9,2002,6,23,2002-06-23,SD,4,0,0,45.68,-98.43,45.82,-98.38,9.00,900.00
102,59bqriQKjVelHajWhq5p,2002,4,28,2002-04-28,MD,4,122,3,38.55,-77.18,38.48,-76.50,38.00,650.00
103,JTpF6nK4IxQEV0t2qc8b,2002,4,24,2002-04-24,MO,4,16,0,37.00,-91.02,36.80,-90.33,40.50,650.00
104,N1xDB5hPPB90QDGzmp93,2001,11,24,2001-11-24,AL,4,22,0,33.92,-86.43,34.03,-86.30,10.10,500.00
105,V7cPPzNQdqUEpFuPt3Ue,2001,11,24,2001-11-24,MS,4,21,2,32.43,-90.20,32.57,-90.05,11.50,880.00
